site_year_code,transect,point,height ,species,native_status,life_history,plant_code,stature
SUDO-2010,36.0,61.0,Low,anagalis arvensis,Exotic,Annual,ANAR,Forb
NUWO-2012,9.0,170.0,Low,anagallis arvensis,,,,
SUDO-2011,21.0,71.0,L,anagallis arvensis,,,,
NMS-2010,40.0,24.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2010,48.0,8.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2010,48.0,16.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2011,32.0,3.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,4.0,16.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,20.0,24.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,44.0,24.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,52.0,20.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,56.0,8.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,56.0,24.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,32.0,12.0,Low,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2010,48.0,16.0,Medium,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,56.0,8.0,Medium,anaphalis margaritacea,Native,Perennial,ANMA,Forb
NMS-2012,8.0,0.0,Low,annual exotic grass,,,,
NMS-2012,20.0,20.0,Low,annual exotic grass,,,,
NMS-2012,20.0,0.0,Low,annual exotic grass,,,,
NMS-2012,36.0,4.0,Low,annual exotic grass,,,,
NUWO-2012,1.0,12.0,Low,annual exotic grass,,,,
NUWO-2012,5.0,15.0,Low,annual exotic grass,,,,
NUWO-2012,5.0,45.0,Low,annual exotic grass,,,,
NUWO-2012,5.0,70.0,Low,annual exotic grass,,,,
NUWO-2012,13.0,45.0,Low,annual exotic grass,,,,
NUWO-2012,9.0,15.0,Low,annual exotic grass,,,,
NUWO-2012,9.0,20.0,Low,annual exotic grass,,,,
NUWO-2012,9.0,30.0,Low,annual exotic grass,,,,
NUWO-2012,9.0,35.0,Low,annual exotic grass,,,,
NUWO-2012,9.0,40.0,Low,annual exotic grass,,,,
NUWO-2012,9.0,80.0,Low,annual exotic grass,,,,
NUWO-2010,16.0,102.0,Low,annual exotic grass,,,,
NUWO-2010,6.0,177.0,Low,annual grass litter,,,,
NUWO-2010,11.0,82.0,Low,annual grass litter,,,,
NUWO-2010,11.0,157.0,Low,annual grass litter,,,,
NUWO-2010,16.0,22.0,Low,annual grass litter,,,,
NUWO-2010,16.0,32.0,Low,annual grass litter,,,,
NUWO-2010,16.0,57.0,Low,annual grass litter,,,,
NUWO-2010,16.0,72.0,Low,annual grass litter,,,,
NUWO-2010,16.0,82.0,Low,annual grass litter,,,,
NUWO-2010,16.0,12.0,Low,annual grass litter,,,,
NUWO-2010,16.0,12.0,Low,annual grass litter,,,,
NMS-2012,16.0,8.0,Low,anthriscus cacaulis,,,,
NMS-2012,20.0,12.0,Low,anthriscus cacaulis,,,,
NMS-2012,24.0,4.0,Low,anthriscus cacaulis,,,,
NMS-2012,24.0,8.0,Low,anthriscus cacaulis,,,,
NMS-2012,36.0,4.0,Low,anthriscus cacaulis,,,,
NMS-2012,56.0,20.0,Low,anthriscus cacaulis,,,,
NMS-2012,20.0,12.0,Medium,anthriscus cacaulis,,,,
NMS-2011,24.0,23.0,Low,anthriscus caucalis,,,,
NMS-2011,-4.0,19.0,Low,anthriscus caucalis,,,,
NMS-2011,40.0,3.0,Low,anthriscus caucalis,,,,
NMS-2011,32.0,7.0,Low,anthriscus caucalis,,,,
NMS-2011,44.0,15.0,Low,anthriscus caucalis,,,,
NUWO-2012,9.0,145.0,Medium,anthriscus caucalis,,,,
NUWO-2012,9.0,145.0,Low,anthriscus caucalis,,,,
NMS-2010,76.0,20.0,Low,armeria maritima,Native,Perennial,ARMA,Forb
NUWO-2010,1.0,147.0,Low,armeria maritima,Native,Perennial,ARMA,Forb
SUDU-2009,15.0,5.0,Low,armeria maritima,Native,Perennial,ARMA,Forb
SUDU-2009,17.0,6.0,Low,armeria maritima,Native,Perennial,ARMA,Forb
NMS-2011,4.0,19.0,Low,artemisia californica,,,,
NMS-2012,4.0,0.0,Low,artemisia californica,,,,
NMS-2012,16.0,4.0,Low,artemisia californica,,,,
NMS-2012,16.0,8.0,Low,artemisia californica,,,,
NMS-2012,28.0,0.0,Low,artemisia californica,,,,
SUDU-2008,15.0,17.0,Low,artemisia californica,,,,
NMS-2012,16.0,8.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
NMS-2012,56.0,0.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
NUWO-2010,1.0,107.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
NUWO-2010,1.0,187.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,4.0,18.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,4.0,20.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,4.0,22.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,5.0,10.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,6.0,18.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,6.0,20.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,7.0,5.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,7.0,7.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,7.0,12.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,7.0,14.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,8.0,11.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,9.0,11.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,9.0,12.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,9.0,13.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,9.0,15.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,10.0,18.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,10.0,19.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,10.0,21.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,10.0,22.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,10.0,23.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,11.0,1.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,11.0,2.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,12.0,3.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,13.0,5.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,13.0,7.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,14.0,9.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,15.0,9.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,16.0,9.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,17.0,4.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,17.0,6.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,17.0,7.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,17.0,24.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,17.0,25.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,18.0,5.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,20.0,2.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDU-2009,20.0,3.0,Low,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,7.0,1.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,7.0,8.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,7.0,43.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,14.0,8.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,28.0,36.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,28.0,36.0,M,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,28.0,43.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,35.0,29.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,63.0,1.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,63.0,15.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,63.0,15.0,M,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2011,70.0,1.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,21.0,35.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,28.0,42.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,42.0,21.0,M,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,42.0,28.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,49.0,28.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,63.0,28.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,63.0,21.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,63.0,7.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,70.0,14.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,70.0,14.0,M,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,14.0,28.0,M,artemisia pycnocephala,Native,Perennial,ARPY,Forb
SUDO-2012,56.0,28.0,L,artemisia pycnocephala,Native,Perennial,ARPY,Forb
NMS-2010,8.0,4.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NMS-2010,36.0,20.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NMS-2012,20.0,8.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NMS-2012,36.0,0.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2010,6.0,127.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2010,6.0,137.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2012,1.0,125.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2012,5.0,30.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2012,5.0,60.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2012,5.0,155.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NUWO-2012,9.0,20.0,Low,aster chilensis,Native,Perennial,ASCH,Forb
NMS-2011,16.0,3.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,20.0,15.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,24.0,19.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,28.0,7.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,44.0,3.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,48.0,27.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,56.0,3.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2011,44.0,3.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,60.0,16.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,64.0,24.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,68.0,4.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,68.0,8.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,68.0,24.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,20.0,8.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,24.0,8.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,24.0,12.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,28.0,8.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,32.0,16.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,36.0,12.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,40.0,12.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,52.0,4.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,52.0,8.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,60.0,0.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,60.0,8.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,64.0,0.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,68.0,0.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,68.0,4.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,68.0,12.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,68.0,16.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,72.0,0.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,72.0,4.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,72.0,28.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,76.0,0.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,76.0,28.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,80.0,0.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,80.0,4.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,80.0,12.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,80.0,20.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,60.0,4.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,28.0,24.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,52.0,24.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,52.0,12.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,60.0,24.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,64.0,24.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,24.0,8.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,24.0,12.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,36.0,4.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,60.0,8.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,60.0,12.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,64.0,0.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,68.0,0.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,68.0,4.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,72.0,0.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,72.0,4.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,72.0,8.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,76.0,0.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2010,76.0,12.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,60.0,4.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,52.0,12.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,60.0,24.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NMS-2012,60.0,16.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,1.0,82.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,1.0,102.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,1.0,112.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,1.0,122.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,1.0,192.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,57.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,62.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,97.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,102.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,107.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,132.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,132.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,137.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,137.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,142.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,6.0,152.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,62.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,72.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,92.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,102.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,102.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,112.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,117.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,117.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,147.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,152.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,172.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,182.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,16.0,67.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,16.0,72.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,16.0,97.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,16.0,107.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,16.0,132.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,16.0,152.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,5.0,95.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,5.0,105.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,5.0,110.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,1.0,80.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,1.0,120.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,5.0,120.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2012,13.0,175.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
EAPO-2011,0.0,0.0,L,avena sp.,Exotic,Annual,AVSP,Grass
EAPO-2011,4.0,20.0,L,avena sp.,Exotic,Annual,AVSP,Grass
EAPO-2011,8.0,20.0,L,avena sp.,Exotic,Annual,AVSP,Grass
EAPO-2011,8.0,20.0,M,avena sp.,Exotic,Annual,AVSP,Grass
EAPO-2011,32.0,8.0,L,avena sp.,Exotic,Annual,AVSP,Grass
EAPO-2011,32.0,8.0,M,avena sp.,Exotic,Annual,AVSP,Grass
SUDO-2010,6.0,13.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
SUDO-2010,12.0,19.0,Medium,avena sp.,Exotic,Annual,AVSP,Grass
SUDO-2010,54.0,19.0,Low,avena sp.,Exotic,Annual,AVSP,Grass
SUDO-2011,35.0,43.0,L,avena sp.,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,132.0,Low,avsp litter,Exotic,Annual,AVSP,Grass
NUWO-2010,11.0,137.0,Low,avsp litter,Exotic,Annual,AVSP,Grass
NMS-2011,20.0,15.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2011,44.0,19.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2011,48.0,11.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2011,52.0,11.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,8.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,8.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,8.0,16.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,24.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,24.0,24.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,32.0,16.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,32.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,48.0,8.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,56.0,8.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,60.0,16.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,60.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,12.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,16.0,20.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,20.0,0.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,20.0,24.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,28.0,0.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,40.0,28.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,48.0,28.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,56.0,16.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,56.0,20.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2010,68.0,12.0,Low,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,24.0,24.0,Medium,baccharis pilularis,Native,Perennial,BAPI,Shrub
NMS-2012,28.0,24.0,Medium,baccharis pilularis,Native,Perennial,BAPI,Shrub
